Series Name,Series Code,Country Name,Country Code,2018
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7451000
"Population, total",SP.POP.TOTL,Hungary,HUN,9775564
"Population, total",SP.POP.TOTL,Iceland,ISL,352721
"Population, total",SP.POP.TOTL,India,IND,1352617328
"Population, total",SP.POP.TOTL,Indonesia,IDN,267663435
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,81800269
"Population, total",SP.POP.TOTL,Iraq,IRQ,38433600
"Population, total",SP.POP.TOTL,Ireland,IRL,4867316
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84077
"Population, total",SP.POP.TOTL,Israel,ISR,8882800
"Population, total",SP.POP.TOTL,Italy,ITA,60421760
"Population, total",SP.POP.TOTL,Jamaica,JAM,2934855
"Population, total",SP.POP.TOTL,Japan,JPN,126529100
"Population, total",SP.POP.TOTL,Jordan,JOR,9956011
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18276498.5
"Population, total",SP.POP.TOTL,Kenya,KEN,51393010
"Population, total",SP.POP.TOTL,Kiribati,KIR,115847
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,25549819
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51606633
"Population, total",SP.POP.TOTL,Kosovo,XKX,1797085
"Population, total",SP.POP.TOTL,Kuwait,KWT,4137312
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6322800
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7061507
"Population, total",SP.POP.TOTL,Latvia,LVA,1927174
"Population, total",SP.POP.TOTL,Lebanon,LBN,6848925
"Population, total",SP.POP.TOTL,Lesotho,LSO,2108132
"Population, total",SP.POP.TOTL,Liberia,LBR,4818977
"Population, total",SP.POP.TOTL,Libya,LBY,6678567
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37910
"Population, total",SP.POP.TOTL,Lithuania,LTU,2801543
"Population, total",SP.POP.TOTL,Luxembourg,LUX,607950
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,631636
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2082958
"Population, total",SP.POP.TOTL,Madagascar,MDG,26262368
"Population, total",SP.POP.TOTL,Malawi,MWI,18143315
"Population, total",SP.POP.TOTL,Malaysia,MYS,31528585
"Population, total",SP.POP.TOTL,Maldives,MDV,515696
"Population, total",SP.POP.TOTL,Mali,MLI,19077690
"Population, total",SP.POP.TOTL,Malta,MLT,484630
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,58413
"Population, total",SP.POP.TOTL,Mauritania,MRT,4403319
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265303
"Population, total",SP.POP.TOTL,Mexico,MEX,126190788
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,112640
"Population, total",SP.POP.TOTL,Moldova,MDA,2706049
"Population, total",SP.POP.TOTL,Monaco,MCO,38682
"Population, total",SP.POP.TOTL,Mongolia,MNG,3170208
"Population, total",SP.POP.TOTL,Montenegro,MNE,622227
"Population, total",SP.POP.TOTL,Morocco,MAR,36029138
"Population, total",SP.POP.TOTL,Mozambique,MOZ,29495962
"Population, total",SP.POP.TOTL,Myanmar,MMR,53708395
"Population, total",SP.POP.TOTL,Namibia,NAM,2448255
"Population, total",SP.POP.TOTL,Nauru,NRU,12704
"Population, total",SP.POP.TOTL,Nepal,NPL,28087871
"Population, total",SP.POP.TOTL,Netherlands,NLD,17231624
"Population, total",SP.POP.TOTL,New Caledonia,NCL,284060
"Population, total",SP.POP.TOTL,New Zealand,NZL,4841000
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6465513
"Population, total",SP.POP.TOTL,Niger,NER,22442948
"Population, total",SP.POP.TOTL,Nigeria,NGA,195874740
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,56882
"Population, total",SP.POP.TOTL,Norway,NOR,5311916
"Population, total",SP.POP.TOTL,Oman,OMN,4829483
"Population, total",SP.POP.TOTL,Pakistan,PAK,212215030
"Population, total",SP.POP.TOTL,Palau,PLW,17907
"Population, total",SP.POP.TOTL,Panama,PAN,4176873
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8606316
"Population, total",SP.POP.TOTL,Paraguay,PRY,6956071
"Population, total",SP.POP.TOTL,Peru,PER,31989256
"Population, total",SP.POP.TOTL,Philippines,PHL,106651922
"Population, total",SP.POP.TOTL,Poland,POL,37974750
"Population, total",SP.POP.TOTL,Portugal,PRT,10283822
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3193354
"Population, total",SP.POP.TOTL,Qatar,QAT,2781677
"Population, total",SP.POP.TOTL,Romania,ROU,19472545
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144477860
"Population, total",SP.POP.TOTL,Rwanda,RWA,12301939
"Population, total",SP.POP.TOTL,Samoa,WSM,196130
"Population, total",SP.POP.TOTL,San Marino,SMR,33785
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,211028
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,33699947
"Population, total",SP.POP.TOTL,Senegal,SEN,15854360
"Population, total",SP.POP.TOTL,Serbia,SRB,6982604
"Population, total",SP.POP.TOTL,Seychelles,SYC,96762
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7650154
"Population, total",SP.POP.TOTL,Singapore,SGP,5638676
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40654
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5446771
"Population, total",SP.POP.TOTL,Slovenia,SVN,2073894
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,652858
"Population, total",SP.POP.TOTL,Somalia,SOM,15008154
"Population, total",SP.POP.TOTL,South Africa,ZAF,57779622
"Population, total",SP.POP.TOTL,South Sudan,SSD,10975920
"Population, total",SP.POP.TOTL,Spain,ESP,46797754
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21670000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,52441
"Population, total",SP.POP.TOTL,St. Lucia,LCA,181889
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,37264
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,110210
"Population, total",SP.POP.TOTL,Sudan,SDN,41801533
"Population, total",SP.POP.TOTL,Suriname,SUR,575991
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1136191
"Population, total",SP.POP.TOTL,Sweden,SWE,10175214
"Population, total",SP.POP.TOTL,Switzerland,CHE,8514329
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,16906283
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9100837
"Population, total",SP.POP.TOTL,Tanzania,TZA,56318348
"Population, total",SP.POP.TOTL,Thailand,THA,69428524
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1267972
"Population, total",SP.POP.TOTL,Togo,TGO,7889094
"Population, total",SP.POP.TOTL,Tonga,TON,103197
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1389858
"Population, total",SP.POP.TOTL,Tunisia,TUN,11565204
"Population, total",SP.POP.TOTL,Turkey,TUR,82319724
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5850908
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,37665
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11508
"Population, total",SP.POP.TOTL,Uganda,UGA,42723139
"Population, total",SP.POP.TOTL,Ukraine,UKR,44622518
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9630959
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66460344
"Population, total",SP.POP.TOTL,United States,USA,326687501
"Population, total",SP.POP.TOTL,Uruguay,URY,3449299
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,32956100
"Population, total",SP.POP.TOTL,Vanuatu,VUT,292680
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28870195
"Population, total",SP.POP.TOTL,Vietnam,VNM,95540395
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106977
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4569087
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,28498687
"Population, total",SP.POP.TOTL,Zambia,ZMB,17351822
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14439018
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.38476110022344
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.246732042281782
Population growth (annual %),SP.POP.GROW,Algeria,DZA,2.00737383000812
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-0.279065761519574
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.00649321134981403
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.27613387502724
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.897185120114641
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.01580834908002
Population growth (annual %),SP.POP.GROW,Armenia,ARM,0.236306378760517
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.453575638777095
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.53610551570388
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.487071924768999
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.866316916370841
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,1.01095334432863
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,4.92116137205662
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.05004464945676
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.142439722865012
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.155570407004577
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.455184695275022
Population growth (annual %),SP.POP.GROW,Belize,BLZ,1.92457576999509
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.73486201301479
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,0.0735835172921417
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.17684339517943
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.42189948560338
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-0.826854592009436
Population growth (annual %),SP.POP.GROW,Botswana,BWA,2.197675757572
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.783847578971981
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,0.757847309225455
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.05199374278845
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.722080405222853
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.86707836702633
Population growth (annual %),SP.POP.GROW,Burundi,BDI,3.16677344240935
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.15976676910969
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.49035537141766
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.61229075104427
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.39794779099322
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,1.2418234783193
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,1.51905153699811
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.02357969868233
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,1.0814932456123
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.39101054110467
Population growth (annual %),SP.POP.GROW,China,CHN,0.455899678672578
Population growth (annual %),SP.POP.GROW,Colombia,COL,1.51727089084319
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.23917061120128
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.22669890036105
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.58170130027223
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,0.99478225758881
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.55235886056005
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.893486927711056
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.00988649624040443
Population growth (annual %),SP.POP.GROW,Curacao,CUW,-0.234393419291099
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,0.809225398288843
Population growth (annual %),SP.POP.GROW,Czech Republic,CZE,0.334427262299794
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.495838925879129
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.5578736070438
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.233431051672096
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.07884114802307
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.76561120074764
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,2.03326217641077
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.509367035813322
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,3.6545067728316
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,..
Population growth (annual %),SP.POP.GROW,Estonia,EST,0.348039137980543
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.62001348207265
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,0.342876363511462
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.684181932039617
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.132641040791912
Population growth (annual %),SP.POP.GROW,France,FRA,0.151733988951895
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.569178577392632
Population growth (annual %),SP.POP.GROW,Gabon,GAB,2.60295406093609
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.94672228129321
Population growth (annual %),SP.POP.GROW,Georgia,GEO,-0.0390365463489613
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.300526701992065
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.19282883696746
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,-0.0296533525287643
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.202880238259165
Population growth (annual %),SP.POP.GROW,Greenland,GRL,-0.265609140509557
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.521752829835629
Population growth (annual %),SP.POP.GROW,Guam,GUM,0.901084421670108
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.60038598150372
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.83313635348047
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.49377196123486
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.486803065283861
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.2739963989891
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.66710361374407
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.799050247136158
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.126786951652838
Population growth (annual %),SP.POP.GROW,Iceland,ISL,2.67814276922904
Population growth (annual %),SP.POP.GROW,India,IND,1.03732336037888
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.1337698607638
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.38647970473313
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.3184640284933
Population growth (annual %),SP.POP.GROW,Ireland,IRL,1.23887545258946
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,0.571344926815681
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.92662286520241
Population growth (annual %),SP.POP.GROW,Italy,ITA,-0.190063640113791
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.478235140362221
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.202670345017896
Population growth (annual %),SP.POP.GROW,Jordan,JOR,1.79215692220237
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.31477741000475
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2.30594867522983
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.46869012445746
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People’s Rep.",PRK,0.470124289654097
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.475334410431755
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,0.33901096210321
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,1.98246273293473
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,1.99032207024617
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.54802299147207
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.779138396192231
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,0.542458659560969
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,0.796281136528556
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.45252259258425
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.47586738980959
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.290582690270153
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-0.954190459209969
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,1.92883751398765
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.44331136552005
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,0.0461949888093546
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.6696132402134
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.64191728771031
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.35251165124592
Population growth (annual %),SP.POP.GROW,Maldives,MDV,3.81313622480854
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.00791357916659
Population growth (annual %),SP.POP.GROW,Malta,MLT,3.49195540302534
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,0.60959569220907
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.78043440578277
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.0545472669534157
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.12642114890216
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,1.05400821370478
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-1.79851537396441
Population growth (annual %),SP.POP.GROW,Monaco,MCO,0.752527100059372
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,1.796009979898
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,-0.0234613531527775
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.25079496436022
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.91345897465103
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.608482651749138
Population growth (annual %),SP.POP.GROW,Namibia,NAM,1.88227929401189
Population growth (annual %),SP.POP.GROW,Nauru,NRU,-1.34482089317817
Population growth (annual %),SP.POP.GROW,Nepal,NPL,1.6539802386854
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.583933408920832
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,1.31466608833004
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,0.977703457051805
Population growth (annual %),SP.POP.GROW,Nicaragua,NIC,1.25535796724705
Population growth (annual %),SP.POP.GROW,Niger,NER,3.81686919885997
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.58654585214901
Population growth (annual %),SP.POP.GROW,Northern Mariana Islands,MNP,0.564156497878011
Population growth (annual %),SP.POP.GROW,Norway,NOR,0.660090844249
Population growth (annual %),SP.POP.GROW,Oman,OMN,3.44511796571903
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,2.05587986968414
Population growth (annual %),SP.POP.GROW,Palau,PLW,0.554390332143348
Population growth (annual %),SP.POP.GROW,Panama,PAN,1.69258054975119
Population growth (annual %),SP.POP.GROW,Papua New Guinea,PNG,1.97476017811245
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,1.28784451697628
Population growth (annual %),SP.POP.GROW,Peru,PER,1.71824651729878
Population growth (annual %),SP.POP.GROW,Philippines,PHL,1.39613428041081
Population growth (annual %),SP.POP.GROW,Poland,POL,-0.000200132782838419
Population growth (annual %),SP.POP.GROW,Portugal,PRT,-0.160104021146769
Population growth (annual %),SP.POP.GROW,Puerto Rico,PRI,-4.0483910336329
Population growth (annual %),SP.POP.GROW,Qatar,QAT,2.06868446561438
Population growth (annual %),SP.POP.GROW,Romania,ROU,-0.587536174086448
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,-0.0130668924028892
Population growth (annual %),SP.POP.GROW,Rwanda,RWA,2.6440088912302
Population growth (annual %),SP.POP.GROW,Samoa,WSM,0.397464519045097
Population growth (annual %),SP.POP.GROW,San Marino,SMR,0.337998424249194
Population growth (annual %),SP.POP.GROW,Sao Tome and Principe,STP,1.88421735403656
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,1.79887529985771
Population growth (annual %),SP.POP.GROW,Senegal,SEN,2.78193167027988
Population growth (annual %),SP.POP.GROW,Serbia,SRB,-0.546351968633598
Population growth (annual %),SP.POP.GROW,Seychelles,SYC,0.954291917891324
Population growth (annual %),SP.POP.GROW,Sierra Leone,SLE,2.13664820752458
Population growth (annual %),SP.POP.GROW,Singapore,SGP,0.469704298714121
Population growth (annual %),SP.POP.GROW,Sint Maarten (Dutch part),SXM,0.196976475763271
Population growth (annual %),SP.POP.GROW,Slovak Republic,SVK,0.138508159611326
Population growth (annual %),SP.POP.GROW,Slovenia,SVN,0.362584395134764
Population growth (annual %),SP.POP.GROW,Solomon Islands,SLB,2.61013377594308
Population growth (annual %),SP.POP.GROW,Somalia,SOM,2.83176765182727
Population growth (annual %),SP.POP.GROW,South Africa,ZAF,1.35769728766652
Population growth (annual %),SP.POP.GROW,South Sudan,SSD,0.595441569950834
Population growth (annual %),SP.POP.GROW,Spain,ESP,0.437982993728698
Population growth (annual %),SP.POP.GROW,Sri Lanka,LKA,1.04839295829763
Population growth (annual %),SP.POP.GROW,St. Kitts and Nevis,KNA,0.757999915891058
Population growth (annual %),SP.POP.GROW,St. Lucia,LCA,0.514822933775617
Population growth (annual %),SP.POP.GROW,St. Martin (French part),MAF,1.9072966556036
Population growth (annual %),SP.POP.GROW,St. Vincent and the Grenadines,VCT,0.348123621752864
Population growth (annual %),SP.POP.GROW,Sudan,SDN,2.39226526455048
Population growth (annual %),SP.POP.GROW,Suriname,SUR,0.958587768978366
Population growth (annual %),SP.POP.GROW,Eswatini,SWZ,1.01179839738944
Population growth (annual %),SP.POP.GROW,Sweden,SWE,1.16164515996039
Population growth (annual %),SP.POP.GROW,Switzerland,CHE,0.736633975172522
Population growth (annual %),SP.POP.GROW,Syrian Arab Republic,SYR,-0.952015451839186
Population growth (annual %),SP.POP.GROW,Tajikistan,TJK,2.45346505862171
